City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,constantia,44.1833,28.65,24.379999999999995,55,97,3.17,RO,1724774471
66,georgetown,5.4112,100.3354,24.970000000000027,87,40,5.14,MY,1724774419
67,atafu village,-8.5421,-172.5159,27.75,77,78,4.87,TK,1724774473
68,mugia,43.1041,-9.2179,20.510000000000048,70,2,3.31,ES,1724774474
69,figline valdarno,43.6195,11.4693,23.120000000000005,82,93,0.89,IT,1724774476
70,ulladulla,-35.35,150.4667,18.960000000000036,40,78,5.51,AU,1724774477
71,cukurca,37.2481,43.6136,23.83000000000004,23,3,2.22,TR,1724774478
72,sinan,34.8262,126.1086,24.700000000000045,85,100,6.68,KR,1724774479
73,nemuro,43.3236,145.575,19.890000000000043,98,100,12.05,JP,1724774480
74,punta arenas,-53.15,-70.9167,6.060000000000002,75,40,6.17,CL,1724774481
75,teguise,29.0605,-13.564,25.120000000000005,54,20,6.69,ES,1724774483
76,pacific grove,36.6177,-121.9166,13.939999999999998,95,100,1.54,US,1724774485
77,smara,26.7384,-11.6719,38.39000000000004,13,9,8.41,EH,1724774488
78,isafjordur,66.0755,-23.124,10.020000000000039,71,0,2.57,IS,1724774490
79,enewetak,11.3474,162.3373,28.840000000000032,77,100,7.62,MH,1724774492
80,kolonia,50.9333,6.95,27.760000000000048,33,0,2.57,DE,1724774494
81,siwa oasis,29.2041,25.5195,37.30000000000001,21,0,4.18,EG,1724774496
82,vakarai,55.6035,23.8213,19.730000000000018,68,1,2.31,LT,1724774498
83,glace bay,46.1969,-59.957,25.650000000000034,56,40,5.14,CA,1724774499
84,badger,64.8,-147.5333,9.090000000000032,82,75,3.09,US,1724774500
85,margaret river,-33.95,115.0667,13.300000000000011,64,56,4.54,AU,1724774502
86,port lincoln,-34.7333,135.8667,14.080000000000041,69,25,11.28,AU,1724774503
87,lycksele,64.5954,18.6735,14.930000000000007,47,20,4.63,SE,1724774504
88,invercargill,-46.4,168.35,7.230000000000018,95,67,0.89,NZ,1724774505
89,petropavlovsk-kamchatsky,53.0452,158.6483,11.330000000000041,76,75,2.0,RU,1724774506
90,hithadhoo,-0.6,73.0833,28.79000000000002,74,38,4.49,MV,1724774507
91,sitka,57.0531,-135.33,11.82000000000005,82,100,1.38,US,1724774508
92,ust-tsilma,65.441,52.1498,16.78000000000003,59,56,2.17,RU,1724774509
93,ponta delgada,37.7333,-25.6667,26.400000000000034,53,20,6.69,PT,1724774403
94,nieuw amsterdam,5.8833,-55.0833,33.01000000000005,55,75,2.06,SR,1724774511
95,ushuaia,-54.8,-68.3,5.810000000000002,61,20,2.06,AR,1724774453
96,benjamin aceval,-24.9667,-57.5667,17.33000000000004,57,100,2.02,PY,1724774513
97,mulchen,-37.7167,-72.2333,12.560000000000002,47,18,2.36,CL,1724774514
98,batibo,5.8358,9.8553,22.939999999999998,80,39,1.97,CM,1724774515
99,hammerfest,70.6634,23.6821,12.25,76,75,16.46,NO,1724774516
100,saint-pierre,-21.3393,55.4781,20.82000000000005,73,40,4.12,RE,1724774517
101,pisco,-13.7,-76.2167,18.340000000000032,82,100,2.06,PE,1724774518
102,sturgeon bay,44.8342,-87.377,24.200000000000045,88,20,0.0,US,1724774241
103,selfoss,63.9331,-20.9971,13.910000000000025,65,98,0.81,IS,1724774520
104,north battleford,52.7834,-108.2847,18.05000000000001,59,0,7.2,CA,1724774521
105,woolgoolga,-30.1106,153.2007,18.930000000000007,77,2,3.62,AU,1724774523
106,joinville,-26.3044,-48.8456,20.55000000000001,53,40,3.09,BR,1724774524
107,erdenet,49.0333,104.0833,12.360000000000014,98,42,2.09,MN,1724774525
108,namibe,-15.1961,12.1522,19.150000000000034,79,26,4.22,AO,1724774526
109,rio grande,-32.035,-52.0986,14.730000000000018,73,66,2.26,BR,1724774527
110,broome,42.2506,-75.833,27.57000000000005,68,3,0.89,US,1724774528
111,ola,59.5833,151.2833,10.420000000000016,96,100,0.85,RU,1724774529
112,jingling,30.65,113.1,23.370000000000005,80,20,2.66,CN,1724774530
113,vilyuchinsk,52.9306,158.4028,12.150000000000034,90,100,1.06,RU,1724774531
114,longyearbyen,78.2186,15.6401,5.910000000000025,75,75,9.26,SJ,1724774532
115,hadibu,12.65,54.0333,27.129999999999995,78,100,6.5,YE,1724774533
116,ashland,40.8167,-82.2665,31.680000000000007,63,2,4.41,US,1724774532
117,hilo,19.7297,-155.09,22.28000000000003,94,100,2.06,US,1724774535
118,mizdah,31.4451,12.9801,35.0,18,38,1.31,LY,1724774536
119,howrah,22.5892,88.3103,28.0,89,40,0.0,IN,1724774537
120,haiku-pauwela,20.9219,-156.3051,23.910000000000025,85,44,1.79,US,1724774538
121,iskateley,67.6803,53.1512,15.180000000000007,68,76,3.38,RU,1724774539
122,geraldton,-28.7667,114.6,17.230000000000018,94,100,3.09,AU,1724774282
123,roma,43.2128,-75.4557,28.710000000000036,63,0,1.34,US,1724774527
124,kourou,5.1552,-52.6478,33.360000000000014,52,16,3.42,GF,1724774542
125,faya-largeau,17.9257,19.1043,33.94,52,0,6.17,TD,1724774543
126,newman,37.3138,-121.0208,23.910000000000025,49,0,0.89,US,1724774544
127,kayangel,8.0823,134.7173,27.470000000000027,79,100,2.88,PW,1724774545
128,stanley,54.868,-1.6985,16.960000000000036,81,100,6.3,GB,1724774546
129,puerto ayora,-0.7393,-90.3518,19.75,92,97,2.68,EC,1724774549
130,pangai,-19.8,-174.35,22.170000000000016,74,2,2.1,TO,1724774550
131,masterton,-40.9597,175.6575,10.470000000000027,90,100,3.33,NZ,1724774551
132,vrangel',42.7297,133.0839,18.660000000000025,84,0,3.4,RU,1724774552
133,slavyanka,42.8633,131.3847,17.82000000000005,81,0,2.54,RU,1724774553
134,bhandaria,22.4861,90.0609,26.689999999999998,88,100,2.68,BD,1724774554
135,hassi messaoud,31.6804,6.0729,40.920000000000016,12,0,4.63,DZ,1724774555
136,huai yot,7.7893,99.6348,23.80000000000001,97,99,1.32,TH,1724774556
137,wad az zaki,14.4619,32.2065,29.689999999999998,57,96,2.09,SD,1724774557
138,puerto ayacucho,5.6639,-67.6236,29.08000000000004,75,41,3.18,VE,1724774558
139,luganville,-15.5333,167.1667,23.78000000000003,67,95,4.53,VU,1724774559
140,north platte,41.1239,-100.7654,24.650000000000034,71,92,1.34,US,1724774389
141,karratha,-20.7377,116.8463,24.129999999999995,58,4,5.39,AU,1724774561
142,kalengwa,-13.4659,25.0027,26.200000000000045,12,11,2.13,ZM,1724774562
143,talnakh,69.4865,88.3972,13.390000000000043,97,100,1.43,RU,1724774563
144,poninka,50.1849,27.5363,29.200000000000045,29,100,3.76,UA,1724774564
145,sosnogorsk,63.6023,53.8817,20.05000000000001,57,88,2.38,RU,1724774565
146,katabu,-4.9333,122.5167,22.24000000000001,90,31,1.79,ID,1724774567
147,porto novo,6.4965,2.6036,27.900000000000034,74,83,6.33,BJ,1724774568
148,wailua homesteads,22.0669,-159.378,24.30000000000001,89,33,0.89,US,1724774569
149,tralee,52.2704,-9.7026,18.140000000000043,82,75,6.17,IE,1724774570
150,vila velha,-20.3297,-40.2925,20.970000000000027,74,75,5.81,BR,1724774546
151,borgarnes,64.5383,-21.9206,14.28000000000003,51,91,1.74,IS,1724774573
152,ciudad lazaro cardenas,17.9583,-102.2,30.27000000000004,66,54,0.22,MX,1724774574
153,yanchep,-31.55,115.6833,12.300000000000011,76,4,1.17,AU,1724774575
154,al bayda',32.7627,21.7551,24.960000000000036,67,0,5.36,LY,1724774576
155,port mathurin,-19.6833,63.4167,21.620000000000005,61,89,12.54,MU,1724774577
156,st. john's,47.5649,-52.7093,17.860000000000014,87,100,4.12,CA,1724774417
157,west island,-12.1568,96.8225,26.99000000000001,83,75,7.72,CC,1724774582
158,arraial do cabo,-22.9661,-42.0278,20.920000000000016,52,0,4.63,BR,1724774583
159,hasaki,35.7333,140.8333,26.970000000000027,84,50,6.99,JP,1724774584
160,eyl,7.9803,49.8164,25.5,80,11,11.27,SO,1724774585
161,ha'il,27.5219,41.6907,39.01000000000005,14,20,5.14,SA,1724774586
162,visby,57.6409,18.296,22.24000000000001,56,0,5.14,SE,1724774582
163,alamosa,37.4695,-105.87,16.99000000000001,67,0,1.54,US,1724774588
164,hervey bay,-25.2986,152.8535,20.25,88,1,2.91,AU,1724774589
165,alofi,-19.0595,-169.9187,20.939999999999998,88,0,3.09,NU,1724774590
166,anda,46.4,125.3167,17.879999999999995,76,51,2.98,CN,1724774591
167,langepas,61.2544,75.2124,14.78000000000003,80,45,3.17,RU,1724774592
168,la passe,45.5549,-0.8967,28.670000000000016,31,2,4.2,FR,1724774593
